,Star_name,Distance,Mass,Radius
204,WISE 0150+3827,WISE 0150+3827,WISE 0150+3827,WISE 0150+3827
205,WISE 0206+2640,WISE 0206+2640,WISE 0206+2640,WISE 0206+2640
206,WISE 0221+3842,WISE 0221+3842,WISE 0221+3842,WISE 0221+3842
207,WISE 0223-2932,WISE 0223-2932,WISE 0223-2932,WISE 0223-2932
208,WISE 0226-0211,WISE 0226-0211,WISE 0226-0211,WISE 0226-0211
209,WISE 0241-3653,WISE 0241-3653,WISE 0241-3653,WISE 0241-3653
210,WISE 0245-3450,WISE 0245-3450,WISE 0245-3450,WISE 0245-3450
211,WISE 0247+3725,WISE 0247+3725,WISE 0247+3725,WISE 0247+3725
212,WISE 0305+3954,WISE 0305+3954,WISE 0305+3954,WISE 0305+3954
213,WISE 0307+2904,WISE 0307+2904,WISE 0307+2904,WISE 0307+2904
214,WISE 0313+7807,WISE 0313+7807,WISE 0313+7807,WISE 0313+7807
215,WISE 0316+4307,WISE 0316+4307,WISE 0316+4307,WISE 0316+4307
216,WISE 0321-7347,WISE 0321-7347,WISE 0321-7347,WISE 0321-7347
217,WISE 0323-6025,WISE 0323-6025,WISE 0323-6025,WISE 0323-6025
218,WISE 0325-3854,WISE 0325-3854,WISE 0325-3854,WISE 0325-3854
219,WISE 0325+0831,WISE 0325+0831,WISE 0325+0831,WISE 0325+0831
220,WISE 0333-5856,WISE 0333-5856,WISE 0333-5856,WISE 0333-5856
221,WISE 0335+4310,WISE 0335+4310,WISE 0335+4310,WISE 0335+4310
222,WISE 0336-0143,WISE 0336-0143,WISE 0336-0143,WISE 0336-0143
223,WISE 0350-5658,WISE 0350-5658,WISE 0350-5658,WISE 0350-5658
224,WISE 0359-5401,WISE 0359-5401,WISE 0359-5401,WISE 0359-5401
225,WISE 0410+1502,WISE 0410+1502,WISE 0410+1502,WISE 0410+1502
226,WISE 0410+1411,WISE 0410+1411,WISE 0410+1411,WISE 0410+1411
227,WISE 0413-4750,WISE 0413-4750,WISE 0413-4750,WISE 0413-4750
228,WISE 0448-1935,WISE 0448-1935,WISE 0448-1935,WISE 0448-1935
229,WISE 0458+6434A,WISE 0458+6434A,WISE 0458+6434A,WISE 0458+6434A
230,WISE 0458+6434B,WISE 0458+6434B,WISE 0458+6434B,WISE 0458+6434B
231,WISE 0500-1223,WISE 0500-1223,WISE 0500-1223,WISE 0500-1223
232,WISE 0513+0608,WISE 0513+0608,WISE 0513+0608,WISE 0513+0608
233,WISE 0525+6739,WISE 0525+6739,WISE 0525+6739,WISE 0525+6739
234,WISE 0528-3308,WISE 0528-3308,WISE 0528-3308,WISE 0528-3308
235,WISE 0535-7500,WISE 0535-7500,WISE 0535-7500,WISE 0535-7500
236,WISE 0539-1034,WISE 0539-1034,WISE 0539-1034,WISE 0539-1034
237,WISE 0542-1628,WISE 0542-1628,WISE 0542-1628,WISE 0542-1628
238,WISE 0607+2429,WISE 0607+2429,WISE 0607+2429,WISE 0607+2429
239,WISE 0611-0410,WISE 0611-0410,WISE 0611-0410,WISE 0611-0410
240,WISE 0612-4920,WISE 0612-4920,WISE 0612-4920,WISE 0612-4920
241,WISE 0612-3036,WISE 0612-3036,WISE 0612-3036,WISE 0612-3036
242,WISE 0614+3912,WISE 0614+3912,WISE 0614+3912,WISE 0614+3912
243,WISE 0614+0951,WISE 0614+0951,WISE 0614+0951,WISE 0614+0951
244,WISE 0623-0456,WISE 0623-0456,WISE 0623-0456,WISE 0623-0456
245,WISE 0625+5646,WISE 0625+5646,WISE 0625+5646,WISE 0625+5646
246,WISE 0627-1114,WISE 0627-1114,WISE 0627-1114,WISE 0627-1114
247,WISE 0647-6232,WISE 0647-6232,WISE 0647-6232,WISE 0647-6232
248,WISE 0656+4205,WISE 0656+4205,WISE 0656+4205,WISE 0656+4205
249,WISE 0713-2917,WISE 0713-2917,WISE 0713-2917,WISE 0713-2917
250,WISE 0723+3403,WISE 0723+3403,WISE 0723+3403,WISE 0723+3403
251,WISE 0733+7544,WISE 0733+7544,WISE 0733+7544,WISE 0733+7544
252,WISE 0734-7157,WISE 0734-7157,WISE 0734-7157,WISE 0734-7157
253,WISE 0744+5628,WISE 0744+5628,WISE 0744+5628,WISE 0744+5628
254,WISE 0750+2725,WISE 0750+2725,WISE 0750+2725,WISE 0750+2725
255,WISE 0751-7634,WISE 0751-7634,WISE 0751-7634,WISE 0751-7634
256,WISE 0759-4904,WISE 0759-4904,WISE 0759-4904,WISE 0759-4904
257,WISE 0811-8051,WISE 0811-8051,WISE 0811-8051,WISE 0811-8051
258,WISE 0812+4021,WISE 0812+4021,WISE 0812+4021,WISE 0812+4021
259,WISE 0819-0335,WISE 0819-0335,WISE 0819-0335,WISE 0819-0335
260,WISE 0821+1443,WISE 0821+1443,WISE 0821+1443,WISE 0821+1443
